"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"32020-85150","SG","Trevon","Trevon Bluiett","Bluiett","0","0","3500","NO@GS","NO","GS","","","","",""
"32020-70823","PF","Guerschon","Guerschon Yabusele","Yabusele","5.007999877929688","25","3500","TOR@BOS","BOS","TOR","","","","",""
"32020-14506","PG","Brandon","Brandon Knight","Knight","5.108333269755046","12","3500","BKN@HOU","HOU","BKN","O","Knee","","",""
"32020-84677","PG","Jerome","Jerome Robinson","Robinson","3.387500047683716","8","3500","UTA@LAC","LAC","UTA","GTD","Undisclosed","","",""
"32020-16071","PG","Tim","Tim Frazier","Frazier","14.955882352941176","34","3500","NO@GS","NO","GS","","","","",""
"32020-84681","SG","Donte","Donte DiVincenzo","DiVincenzo","11.030434649923574","23","3500","MIL@MEM","MIL","MEM","","","","",""
"32020-14537","SF","Chandler","Chandler Parsons","Parsons","9.59999974568685","3","3500","MIL@MEM","MEM","MIL","O","Not injury related","","",""
"32020-14539","PF","Jon","Jon Leuer","Leuer","9.125","28","3500","ORL@DET","DET","ORL","","","","",""
"32020-23248","SG","RJ","RJ Hunter","Hunter","7.3","5","3500","TOR@BOS","BOS","TOR","","","","",""
"32020-9940","SF","Dante","Dante Cunningham","Cunningham","11.678048482755335","41","3500","SA@DAL","SA","DAL","","","","",""
"32020-84695","SG","Gary","Gary Trent Jr.","Trent Jr.","4.459999847412109","5","3500","CLE@POR","POR","CLE","","","","",""
"32020-84697","SG","Jacob","Jacob Evans","Evans","1.9681817835027522","22","3500","NO@GS","GS","NO","","","","",""
